אָב|av
חֲלָבִי|chalavi
לַחְלוֹב|lachlov
חֲלוּדָה|chaluda
לְהַחְלִיד|lehachlid
חָלוּד|chalud
חוּלְדָּה|chulda
לְחַלְחֵל|lechalchel
לְהִתְחַלְחֵל|lehitchalchel
לְהַחְלִיט|lehachlit
לְחַלֵּט|lechalet
חִילּוּט|chilut
הַחְלָטָה|hachlata
לַחְלוֹט|lachlot
חִילְטוּר|chiltur
לְחַלְטֵר|lechalter
לַחֲלוֹת|lachalot
לְחַלּוֹת|lechalot
מַחֲלָה|machala
לְהִתְחַלּוֹת|lehitchalot
חַלּוֹן|chalon
לְחַלֵּל|lechalel
תְּחִילָּה|tchila
חָלָל|chalal
חֲלִיל|chalil
חָלִילָה|chalila
לְהָחֵל|lehachel
חָלוּל|chalul
חִילוֹנִי|chiloni
חַלָּה|chala
מְחִילָּה|mechila
לְהַחְלִים|lehachlim
חָלוֹם|chalom
לַחְלוֹם|lachlom
חֲלוּפָה|chalufa
לְהַחֲלִיף|lehachalif
לְהִתְחַלֵּף|lehitchalef
חֲלִיפָה|chalifa
הַחְלָפָה|hachlafa
לַחֲלוֹף|lachalof
מֶחְלָף|mechlaf
מַחְלֵף|machlef
חֲלוּפִי|chalufi
לַחֲלוֹץ|lachalotz
לְהֵיחָלֵץ|lehechaletz
לְחַלֵּץ|lechaletz
חָלוּץ|chalutz
חוּלְצָה|chultza
לְחַלֵּק|lechalek
לְהַחֲלִיק|lehachalik
חֲלַקְלַק|chalaklak
חֵלֶק|chelek
חָלָק|chalak
חֲלוּקָּה|chaluka
חֶלְקִיק|chelkik
מְחַלֵּק|mechalek
לַחֲלוֹק|lachalok
לְהִתְחַלֵּק|lehitchalek
לְהֵיחָלֵק|lehechalek
מַחְלָקָה|machlaka
חִילּוּק|chiluk
לְהַחֲלִישׁ|lehachalish
לַחֲלוֹשׁ|lachalosh
לְהִתְחַלֵּשׁ|lehitchalesh
לְהֵיחָלֵשׁ|lehechalesh
חוּלְשָׁה|chulsha
חַלָּשׁ|chalash
לַחֲלוֹשׁ|lachalosh
חָם|cham
לְהַחֲמִיא|lehachami
מַחְמָאָה|machma'a
חֶמְאָה|chem'a
חָמוּד|chamud
חֶמְדָּה|chemda
נֶחְמָד|nechmad
לַחְמוֹד|lachmod
חַמְדָן|chamdan
חַמְדָנוּת|chamdanut
חָמוֹת|chamot
לַחְמוֹל|lachmol
חָמִים|chamim
לְחַמֵּם|lechamem
חוֹם|chom
הִתְחַמְּמוּת|hitchamemut
חַם|cham
לְהִתְחַמֵּם|lehitchamem
חִימּוּם|chimum
לְהַחֲמִיץ|lehachamitz
לַחְמוֹץ|lachmotz
חוּמְצָה|chumtza
חוֹמֶץ|chometz
מַחְמָץ|machmatz
חַמְצָן|chamtzan
חָמוּץ|chamutz
לְהִתְחַמֵּץ|lehitchametz
חֲמִיצָה|chamitza
לְחַמְצֵן|lechamtzen
לְהִתְחַמְצֵן|lehitchamtzen
לְהִתְחַמֵּק|lehitchamek
חֲמַקְמַק|chamakmak
לַחְמוֹק|lachmok
לְהַחְמִיר|lehachmir
חֵימָר|chemar
חוֹמֶר|chomer
חָמוּר|chamur
חֲמוֹר|chamor
לְהִתְחַמֵּשׁ|lehitchamesh
חֲמִישִׁי|chamishi
חָמוּשׁ|chamush
חוֹמֶשׁ|chomesh
לַחְנוֹט|lachnot
לְהֵיחָנֵט|lehechanet
לַחֲנוֹת|lachanot
לְהַחֲנוֹת|lehachanot
מַחֲנֶה|machane
חֲנוּת|chanut
תַּחֲנָה|tachana
חֲנָיָה|chanaya
חֲנִייָּה|chaniya
לְחַנֵּךְ|lechanech
לְהֵיחָנֵךְ|lehechanech
חִינּוּךְ|chinuch
לְהִתְחַנֵּךְ|lehitchanech
חָנִיךְ|chanich
חֲנוּכָּה|chanuka
חִינּוּכִי|chinuchi
לַחֲנוֹךְ|lachanoch
חֲנוּכִּייָּה|chanukiya
לְהִתְחַנֵּן|lehitchanen
לָחוֹן|lachon
מְחוּנָּן|mechunan
מְחוֹנָן|mechonan
חֵן|chen
לְהֵיחֵן|lehechen
לְהִתְחַנֵּף|lehitchanef
לְהַחֲנִיף|lehachanif
חַנְפָן|chanfan
לַחֲנוֹק|lachanok
לְהֵיחָנֵק|lehechanek
חֲנִיקָה|chanika
לְהַחְנִיק|lehachnik
חֶנֶק|chenek
חַנָּק|chanak
מַחֲנָק|machanak
לְהִתְחַסֵּד|lehitchased
חֶסֶד|chesed
חֲסִידָה|chasida
חַסָּה|chasa
לַחֲסוֹת|lachasot
חָסוּת|chasut
חִיסָּיוֹן|chisayon
לְהֵיחָסֵךְ|lehechasech
לַחֲסוֹךְ|lachasoch
חִיסָּכוֹן|chisachon
לְחַסֵּל|lechasel
לְהִתְחַסֵּל|lehitchasel
חִיסּוּל|chisul
לְהֵיחָסֵם|lehechasem
מַחְסוֹם|machsom
לַחְסוֹם|lachsom
לְחַסֵּן|lechasen
מַחְסָן|machsan
מַחְסָנִית|machsanit
חוֹסֶן|chosen
לְהִתְחַסֵּן|lehitchasen
לְהִתְחַסֵּן|lehitchasen
חָסִין|chasin
חֲסִינוּת|chasinut
לְחַסְפֵּס|lechaspes
מְחוּסְפָּס|mechuspas
לְהַחְסִיר|lehachsir
לַחְסוֹר|lachsor
לְחַסֵּר|lechaser
חָסֵר|chaser
חִיסָּרוֹן|chisaron
חוֹסֶר|choser
חִיסּוּר|chisur
חֲסַר תּוֹעֶלֶת|chasarto'elet
לְהֵיחָפֵז|lehechafez
לְחַפּוֹת|lechapot
לָחוֹף|lachof
לְחוֹפֵף|lechofef
לְהִתְחָפֵף|lehitchafef
לַחְפּוֹף|lachpof
לַחְפּוֹף|lachpof
לַחְפּוֹץ|lachpotz
לַחְפּוֹר|lachpor
לְהֵיחָפֵר|lehechafer
לְהִתְחַפֵּר|lehitchaper
חֲפִירָה|chafira
מַחְפֵּר|machper
לְחַפֵּשׂ|lechapes
לְהִתְחַפֵּשׂ|lehitchapes
חִיפּוּשׂ|chipus
חוֹפְשִׁי|chofshi
תַּחְפּוֹשֶׂת|tachposet
חוֹפֶשׁ|chofesh
חוּפְשָׁה|chufsha
לַחְצוֹב|lachtzov
לְהֵיחָצֵב|lehechatzev
מַחְצָב|machtzav
חָצָב|chatzav
לַחֲצוֹת|lachatzot
מַחֲצִית|machatzit
חֲצָאִית|chatza'it
לְהֵיחָצוֹת|lehechatzot
חֶצִי|chetzi
יַחַץ|yachatz
חֲצוֹת|chatzot
לְהִתְחַצֵּף|lehitchatzef
חוּצְפָּה|chutzpa
מְחִיצָּה|mechitza
חֵץ|chetz
לְחַצְצֵר|lechatzetzer
חָצֵר|chatzer
לְחַקּוֹת|lechakot
לְהִתְחַקּוֹת|lehitchakot
חַקְייָן|chakyan
חִיקּוּי|chikuy
חַקְלָאוּת|chakla'ut
חַקְלַאי|chaklay
חַקְלָאִי|chakla'i
חוֹקֶן|choken
חוּקִּי|chuki
לְחוֹקֵק|lechokek
תְּחִיקָּה|tchika
חוֹק|chok
לְהֵיחָקֵק|lehechakek
תְּחִיקָּה|tchika
לַחְקוֹק|lachkok
חֲקִיקָה|chakika
חֲקִיקָה|chakika
לַחְקוֹר|lachkor
לְהֵיחָקֵר|lehechaker
תַּחְקִיר|tachkir
מֶחְקָר|mechkar
חֵקֶר|cheker
לְהֵיחָרֵב|lehecharev
לַחֲרוֹב|lacharov
לְהַחֲרִיב|lehachariv
חוּרְבָּן|churban
חֶרֶב|cherev
לְחַרְבֵּן|lecharben
לְהִתְחַרְבֵּן|lehitcharben
לַחֲרוֹג|lacharog
לַחֲרוֹד|lacharod
לְהֵיחָרֵד|lehechared
לְהַחְרִיד|lehachrid
מַחְרִיד|machrid
חֲרָדָה|charada
לַחֲרוֹז|lacharoz
לְהֵיחָרֵז|lehecharez
חָרוּז|charuz
חֲרִיזָה|chariza
לְהִתְחָרֵז|lehitcharez
לְחַרְחֵר|lecharcher
לַחֲרוֹט|lacharot
לְהֵיחָרֵט|lehecharet
חֲרָטָה|charata
לְהִתְחָרֵט|lehitcharet
לְחַרְטֵט|lechartet
חַרְטָט|chartat
תַּחֲרוּת|tacharut
לְהִתְחָרוֹת|lehitcharot
מִתְחָרֶה|mitchare
הִתְחָרוּת|hitcharut
לַחֲרוֹת|lacharot
לְהַחְרוֹת|lehachrot
לַחֲרוֹךְ|lacharoch
לְהֵיחָרֵךְ|lehecharech
חָרָךְ|charach
לְהַחֲרִים|lehacharim
חֵירוּם|cherum
חֶרֶס|cheres
חַרְסִית|charsit
לְהַחֲרִיף|lehacharif
לְחָרֵף|lecharef
חוֹרֶף|choref
חוֹרְפִּי|chorpi
חָרִיף|charif
לַחְרוֹף|lachrof
לְהִתְחַרְפֵן|lehitcharfen
לְהֵיחָרֵץ|lehecharetz
חָרוּץ|charutz
לַחֲרוֹץ|lacharotz
לַחֲרוֹק|lacharok
חֶרֶק|cherek
חֵירוּת|cherut
לְחָרֵר|lecharer
חוֹר|chor
לַחֲרוֹשׁ|lacharosh
לְהַחֲרִישׁ|lehacharish
לְהֵיחָרֵשׁ|lehecharesh
חֵירֵשׁ|cheresh
מַחְרֵשָׁה|machresha
לְהִתְחָרֵשׁ|lehitcharesh
לַחֲרוֹת|lacharot
לַחְשׁוֹב|lachshov
לְהֵיחָשֵׁב|lehechashev
לְחַשֵּׁב|lechashev
לְהַחְשִׁיב|lehachshiv
לְהִתְחַשֵּׁב|lehitchashev
הִתְחַשְּׁבוּת|hitchashvut
חִישּׁוּב|chishuv
מַחְשֵׁב|machshev
חַשָּׁב|chashav
חֶשְׁבּוֹן|cheshbon
חָשׁוּב|chashuv
חֶשְׁבּוֹנִית|cheshbonit
מַחְשָׁבָה|machshava
לְהִתְחַשְׁבֵּן|lehitchashben
לְחַשְׁבֵּן|lechashben
לַחְשׁוֹד|lachshod
לְהֵיחָשֵׁד|lehechashed
לְהַחְשִׁיד|lehachshid
חָשׁוּד|chashud
חֲשָׁד|chashad
חֲשַׁאי|chashay
לְהַחֲשׁוֹת|lehachashot
לַחְשׁוֹךְ|lachshoch
לְהַחְשִׁיךְ|lehachshich
חוֹשֶׁךְ|choshech
לְחַשֵּׁל|lechashel
לְהִתְחַשֵּׁל|lehitchashel
לְחַשְׁמֵל|lechashmel
לְהִתְחַשְׁמֵל|lehitchashmel
חַשְׁמָל|chashmal
חַשְׁמָלִי|chashmali
לְהֵיחָשֵׂף|lehechasef
חֲשִׂיפָה|chasifa
חַשְׂפָן|chasfan
חַשְׂפָנִית|chasfanit
חַשְׂפָנוּת|chasfanut
לַחֲשׂוֹף|lachasof
לְחַשֵּׁק|lechashek
לְהִתְחַשֵּׁק|lehitchashek
חֵשֶׁק|cheshek
לְהֵיחָשֵׁק|lehechashek
לַחְשׁוֹק|lachshok
לַחְשׁוֹשׁ|lachshosh
חֲשָׁשׁ|chashash
חָתוּל|chatul
חֲתוּלָה|chatula
חֲתוּלִי|chatuli
לַחְתּוֹךְ|lachtoch
לְהֵיחָתֵךְ|lehechatech
חֲתָךְ|chatach
חָתִיךְ|chatich
חֲתִיכָה|chaticha
לְחַתֵּךְ|lechatech
חָתוּךְ|chatuch
לְחַתֵּל|lechatel
חִיתּוּל|chitul
חֲתַלְתּוּל|chataltul
חֲתַלְתּוּלָה|chataltula
חֲתַלְתּוּלוֹן|chataltulon
חֲתַלְתּוּלוֹנֶת|chataltulonet
חֲתִימָה|chatima
לְהֵיחָתֵם|lehechatem
לְהַחְתִּים|lehachtim
לַחְתּוֹם|lachtom
לְחַתֵּן|lechaten
חֲתוּנָּה|chatuna
חָתָן|chatan
לְהִתְחַתֵּן|lehitchaten
מַחְתֶּרֶת|machteret
לַחְתּוֹר|lachtor
לְטַאְטֵא|letate
מַטְאֲטֵא|mat'ate
טָבוּחַ|tavuach
לִטְבּוֹחַ|litboach
לְהִיטָּבֵחַ|lehitaveach
טַבָּח|tabach
מִטְבָּח|mitbach
טֶבַח|tevach
לִטְבּוֹל|litbol
לְהִיטָּבֵל|lehitavel
לְהַטְבִּיל|lehatbil
לִטְבּוֹעַ|litboa
לְהִיטָּבֵעַ|lehitavea
לְהַטְבִּיעַ|lehatbia
טִבְעוֹנִי|tiv'oni
מַטְבֵּעַ|matbea
טֶבַע|teva
טִבְעִי|tiv'i
טִבְעוֹנוּת|tiv'onut
טַבַּעַת|taba'at
לְהַטְבִּיעַ|lehatbia
לְטַגֵּן|letagen
מְטוּגָּן|metugan
לְטַהֵר|letaher
לִטְהוֹר|lithor
לְהִיטָּהֵר|lehitaher
לְהִיטַּהֵר|lehitaher
טָהוֹר|tahor
טוֹהַר|tohar
לָטוּב|latuv
טוֹבָה|tova
טוֹב|tov
טוּזִיג|tuzig
לְהָטִיחַ|lehatiach
לְטַווֵּחַ|letaveach
טְווָח|tvach
לִטְווֹת|litvot
לְהַטִּיל|lehatil
לְהָטִיס|lehatis
לָטוּס|latus
מָטוֹס|matos
טִיסָה|tisa
מַטְחֵנָה|matchena
לִטְחוֹן|litchon
טָחוּן|tachun
טְחִינָה|tchina
לְטַייֵּב|letayev
טִיחַ|tiach
טִיּוּחַ|tiyuach
טִיּוּל|tiyul
טַייֶּלֶת|tayelet
לְטַייֵּל|letayel
טַייָּס|tayas
טִירָה|tira
טִירוֹן|tiron
טִירוֹנוּת|tironut
לְטַכֵּס|letakes
לְטַלְגְּרֵף|letalgref
טֶלֶווִיזְיָה|televizya
לְטַלְטֵל|letaltel
לְהִיטַּלְטֵל|lehitaltel
טַלִּית|talit
טַל|tal
טֶלֶף|telef
לְטַלֵּף|letalef
טֶלֶפוֹן|telefon
לְטַלְפֵּן|letalpen
לְטַמֵּא|letame
לְהִיטָּמֵא|lehitame
לְטַמְטֵם|letamtem
לִטְמוֹן|litmon
לְהִיטָּמֵן|lehitamen
לְהַטְמִין|lehatmin
לְהַטְמִיעַ|lehatmia
לְהִיטָּמֵעַ|lehitamea
לְטַנֵּף|letanef
טִינּוֹפֶת|tinofet
לִטְעוֹת|lit'ot
לְהַטְעוֹת|lehat'ot
טָעוּת|ta'ut
לִטְעוֹם|lit'om
לְהַטְעִים|lehat'im
טָעִים|ta'im
טְעִימָה|te'ima
מַטְעָם|mat'am
טַעַם|ta'am
לְהַטְעִין|lehat'in
לִטְעוֹן|lit'on
מִטְעָן|mit'an
מַטְעֵן|mat'en
לְהִיטָּעֵן|lehita'en
לִטְפּוֹחַ|litpoach
לְטַפֵּחַ|letapeach
טְפִיחָה|tficha
לְטַפְטֵף|letaftef
טִיפְטוּף|tiftuf
לְטַפֵּל|letapel
לְהִיטָּפֵל|lehitafel
טִיפּוּל|tipul
לִטְפּוֹל|litpol
לְטַפֵּס|letapes
טוֹפֶס|tofes
לִטְפּוֹף|litpof
מְטוּפָּשׁ|metupash
טִיפֵּשׁ|tipesh
טֶקֶס|tekes
טָרוּד|tarud
לְהַטְרִיד|lehatrid
הַטְרָדָה|hatrada
מִטְרָד|mitrad
לְהַטְרִיחַ|lehatriach
לִטְרוֹחַ|litroach
לְטַרְטֵר|letarter
טְרִיּוּת|triyut
טָרִי|tari
טֶרֶם|terem
לִטְרוֹף|litrof
לְהִיטָּרֵף|lehitaref
לְהַטְרִיף|lehatrif
לְטַרְפֵּד|letarped
טַרְפֶּדֶת|tarpedet
לְהִיטָּרֵק|lehitarek
לִטְרוֹק|litrok
טָרֶשֶׁת|tareshet
לְהִתְטַשְׁטֵשׁ|lehittashtesh
לְטַשְׁטֵשׁ|letashtesh
לְהִיטַּשְׁטֵשׁ|lehitashtesh
לִיאוֹת|li'ot
לְהוֹאִיל|leho'il
לְהִיווָּאֵשׁ|lehiva'esh
לְהִתְייָאֵשׁ|lehitya'esh
יֵיאוּשׁ|ye'ush
מְייָאֵשׁ|meya'esh
לְייַבֵּא|leyabe
לְייַבֵּב|leyabev
לְהוֹבִיל|lehovil
מְיוּבָּל|meyubal
יַבֶּלֶת|yabelet
מוֹבִיל|movil
מַבּוּל|mabul
הוֹבָלָה|hovala
לְייַבֵּל|leyabel
לְהִתְייַבֵּשׁ|lehityabesh
לִיבוֹשׁ|livosh
יָבֵשׁ|yavesh
יִיבּוּשׁ|yibush
יַבֶּשֶׁת|yabeshet
יַבָּשָׁה|yabasha
לְייַבֵּשׁ|leyabesh
תּוּגָה|tuga
לְייַגֵּעַ|leyagea
לְהִתְייַגֵּעַ|lehityagea
יָגוֹר|yagor
יָד|yad
יָד|yad
לְהִתְייַדֵּד|lehityaded
יְדִידוּת|yedidut
יָדִיד|yadid
לְהוֹדוֹת|lehodot
לִידוֹת|lidot
תּוֹדָה|toda
לְייַדּוֹת|leyadot
מוֹדָעָה|moda'a
לָדַעַת|lada'at
לְהוֹדִיעַ|lehodia
לְהִיווָּדֵעַ|lehivadea
לְייַדֵּעַ|leyadea
דַּעַת|da'at
יְדִיעָה|yedi'a
יֶדַע|yeda
יַדְעָן|yad'an
הוֹדָעָה|hoda'a
מַדָּע|mada
מֵידָע|meda
מַדְעָן|mad'an
יָדוּעַ|yadua
מוֹדִיעִין|modi'in
יַהֲדוּת|yahadut
יְהוּדִי|yehudi
יְהוּדִיָּה|yehudiya
יְהוּדִי|yehudi
יַהֲדוּת|yahadut
יַהֲלוֹם|yahalom
יוֹם|yom
יוֹמָן|yoman
לְהִתְייַווֵּן|lehityaven
לְהוֹזִיל|lehozil
יַזָּם|yazam
מֵיזָם|mezam
יוֹזְמָה|yozma
לִיזוֹם|lizom
לְהַזִּיעַ|lehazia
לְהִתְייַחֵד|lehityached
מְיוּחָד|meyuchad
יִיחוּד|yichud
יַחַד|yachad
לְייַחֵד|leyached
יַחְדָּיו|yachdav
יָחִיד|yachid
לְייַחֵל|leyachel
תּוֹחֶלֶת|tochelet
לְהִתְייַחֵס|lehityaches
יַחַס|yachas
לְייַחֵס|leyaches
לְהֵיטִיב|lehetiv
מֵיטָב|metav
מֵיטָבִי|metavi
יַיִן|yayin
לְהוֹכִיחַ|lehochiach
לְהִיווָּכֵחַ|lehivacheach
לוּכַל|luchal
יְכוֹלֶת|yecholet
לָלֶדֶת|laledet
לְהוֹלִיד|leholid
לְהִיווָּלֵד|lehivaled
לְהִתְייַלֵּד|lehityaled
יֶלֶד|yeled
יַלְדָּה|yalda
מוֹלֶדֶת|moledet
לֵידָה|leda
יַלְדוּת|yaldut
יְלוּדָה|yeluda
לְייַלֵּד|leyaled
תּוֹלָדָה|tolada
לְייַלֵּל|leyalel
יְלָלָה|yelala
תּוֹלַעַת|tola'at
יַמָּה|yama
יַמִּי|yami
יָם|yam
מְיוּמָּן|meyuman
מְיוּמָּנוּת|meyumanut
לְהִתְייַמֵּר|lehityamer
יוֹמְרָה|yomra
לְהוֹנוֹת|lehonot
לְייַנֵּן|leyanen
לְהֵינִיק|lehenik
לִינוֹק|linok
תִּינוֹק|tinok
תִּינוֹקֶת|tinoket
לִיסוֹד|lisod
לְהִיווָּסֵד|lehivased
יְסוֹדִיּוּת|yesodiyut
יְסוֹדִי|yesodi
יְסוֹד|yesod
מוֹסָד|mosad
יִיסּוּד|yisud
לְייַסֵּד|leyased
מַסָּד|masad
יוֹסֵף|yosef
לְהוֹסִיף|lehosif
לְהִיווָּסֵף|lehivasef
תּוֹסֶפֶת|tosefet
לְהִיתּוֹסֵף|lehitosef
הוֹסָפָה|hosafa
יִיסּוּרִים|yisurim
לְהִתְייַסֵּר|lehityaser
לְייַסֵּר|leyaser
לְהִיווָּעֵד|lehiva'ed
מוּעָד|mu'ad
לִיעוֹד|li'od
יַעַד|ya'ad
לְייַעֵד|leya'ed
מוֹעֵד|mo'ed
מוֹעֲדוֹן|mo'adon
לְהִיווָּעֵז|lehiva'ez
תּוֹעֶלֶת|to'elet
לְהוֹעִיל|leho'il
לְייַעֵל|leya'el
יָעֵן|ya'en
יַעַן|ya'an
לִיעוֹף|li'of
יַעֶפֶת|ya'efet
לָעוּץ|la'utz
לְהִתְייַעֵץ|lehitya'etz
לְהִיווָּעֵץ|lehiva'etz
עֵיצָה|etza
יִיעוּץ|yi'utz
לְייַעֵץ|leya'etz
הִתְייַעֲצוּת|hitya'atzut
מוֹעָצָה|mo'atza
יְפֵהפֶה|yefefe
לְהִתְייַפֵּחַ|lehityapeach
לְייַפּוֹת|leyapot
יוֹפִי|yofi
יוֹפִי|yofi
לִיפוֹת|lifot
יָפֶה|yafe
יַפְיוּף|yafyuf
מוֹפָע|mofa
לְהוֹפִיעַ|lehofia
תּוֹפָעָה|tofa'a
צֵאת|tzet
לָצֵאת|latzet
לְהוֹצִיא|lehotzi
לְייַצֵּא|leyatze
תּוֹצָאָה|totza'a
מוֹצָא|motza
יְצִיאָה|yetzi'a
נִיצָּב|nitzav
לְהִתְייַצֵּב|lehityatzev
לְהַצִּיב|lehatziv
מַצָּב|matzav
נִיצָּב|nitzav
יַצִּיב|yatziv
יַצִּיבוּת|yatzivut
לְייַצֵּב|leyatzev
הִתְייַצְּבוּת|hityatzvut
לְהַצִּיג|lehatzig
הַצָּגָה|hatzaga
מַצֶּגֶת|matzeget
לְייַצֵּג|leyatzeg
יִיצּוּג|yitzug
תְּצוּגָה|tetzuga
לְהַצִּיעַ|lehatzia
הֶיצֵּעַ|hetzea
הַצָּעָה|hatza'a
לִיצוֹק|litzok
מוּצָק|mutzak
לְהִיווָּצֵק|lehivatzek
לִיצוֹר|litzor
לְהִיווָּצֵר|lehivatzer
יִיצּוּר|yitzur
הִיווָּצְרוּת|hivatzrut
יֵצֶר|yetzer
מוּצָר|mutzar
יַצְרָן|yatzran
יְצוּר|yetzur
יְצִיר|yetzir
יָצוּר|yatzur
לְייַצֵּר|leyatzer
יְצִירָה|yetzira
יְצִירָתִי|yetzirati
תּוֹצֶרֶת|totzeret
לְהַצִּית|lehatzit
מַצִּית|matzit
הַצָּתָה|hatzata
מַצָּת|matzat
יֶקֶב|yekev
מוֹקֵד|moked
לִיקוֹד|likod
לְהוֹקִיעַ|lehokia
לְהִתְייַקֵּר|lehityaker
לְהוֹקִיר|lehokir
יַקִּיר|yakir
יַקִּירָה|yakira
לִיקוֹר|likor
יָקָר|yakar
לְייַקֵּר|leyaker
הִתְייַקְּרוּת|hityakrut
מוֹקֵשׁ|mokesh
לִירוֹא|liro
לְהִתְייָרֵא|lehityare
נוֹרָא|nora
הוֹרָאָה|hora'a
לְהוֹרִיד|lehorid
יְרִידָה|yerida
לָרֶדֶת|laredet
יָרוּד|yarud
יָרֵחַ|yareach
לְייָרֵט|leyaret
לִירוֹט|lirot
לִירוֹת|lirot
לְהוֹרוֹת|lehorot
לְהִייָּרוֹת|lehiyarot
יֶרִי|yeri
תּוֹרָה|tora
מוֹרֶה|more
יָרֵךְ|yarech
יַרְקוּת|yarkut
יֶרֶק|yerek
יָרָק|yarak
לִירוֹק|lirok
לְהוֹרִיק|lehorik
יַרְקָן|yarkan
יַרְקָן|yarkan
יָרוֹק|yarok
יְרַקְרַק|yerakrak
לָרֶשֶׁת|lareshet
לְהוֹרִישׁ|lehorish
יְרוּשָּׁה|yerusha
לְהִיווָּרֵשׁ|lehivaresh
יֵשׁ|yesh
תּוֹשָׁב|toshav
לָשֶׁבֶת|lashevet
לְהִתְייַשֵּׁב|lehityashev
לְייַשֵּׁב|leyashev
לְהוֹשִׁיב|lehoshiv
יְשִׁיבָה|yeshiva
יִישּׁוּב|yishuv
יוֹשֵׁב|yoshev
יָשׁוּב|yashuv
יֵשׁוּת|yeshut
לְהוֹשִׁיט|lehoshit
לְייַשֵּׂם|leyasem
לִישׁוֹן|lishon
שֵׁינָה|shena
יָשָׁן|yashan
לְהִתְייַשֵּׁן|lehityashen
נוֹשָׁן|noshan
לְהוֹשִׁיעַ|lehoshia
לְהִיווָּשֵׁעַ|lehivashea
יֶשַׁע|yesha
יָשְׁפֶה|yashfe
לְהִתְייַשֵּׁר|lehityasher
יִישּׁוּר|yishur
יָשָׁר|yashar
יָשִׁיר|yashir
לְייַשֵּׁר|leyasher
לְהֵישִׁיר|leheshir
מִישׁוֹר|mishor
יָתֵד|yated
יַתּוּשׁ|yatush
לִיתוֹם|litom
לְהִתְייַתֵּם|lehityatem
יֶתֶר|yeter
יֶתֶר|yeter
מֵיתָר|metar
לְהוֹתִיר|lehotir
לְהִיווָּתֵר|lehivater
יִתְרוֹן|yitron
יוֹתֵר|yoter
מְיוּתָּר|meyutar
לְייַתֵּר|leyater
כְּ־|ke
לִכְאוֹב|lich'ov
לְהַכְאִיב|lehach'iv
כְּאֵב|ke'ev
כְּאִילּוּ|ke'ilu
כָּאן|kan
כַּאֲשֶׁר|ka'asher
לְהִתְכַּבֵּד|lehitkabed
לְהַכְבִּיד|lehachbid
לִכְבּוֹד|lichbod
כָּבוֹד|kavod
כָּבֵד|kaved
כְּבִידָה|kvida
כִּיבּוּד|kibud
לְכַבֵּד|lechabed
לְכַבּוֹת|lechabot
לְהִיכָּבוֹת|lehikavot
כַּבַּאי|kabay
כִּיבּוּי|kibuy
לִכְבּוֹת|lichbot
לִכְבּוֹל|lichbol
לְהִיכָּבֵל|lehikavel
לְכַבֵּס|lechabes
מִכְבָּסָה|michbasa
כְּבִיסָה|kvisa
לְהַכְבִּיר|lehachbir
כְּבָר|kvar
כֶּבֶשׂ|keves
לְהִיכָּבֵשׁ|lehikavesh
כְּבִישָׁה|kvisha
כְּבִישׁ|kvish
כִּבְשָׂה|kivsa
לִכְבּוֹשׁ|lichbosh
כְּגוֹן|kegon
כְּדַאי|keday
כַּדּוּר|kadur
כַּדּוּרֶגֶל|kaduregel
כְּדֵי|kedei
לְהִתְכַּדֵּר|lehitkader
לְכַדְרֵר|lechadrer
כֹּה|ko
לִכְהוֹת|lichhot
לְהִתְכַּהוֹת|lehitkahot
כֵּהֶה|kehe
לְכַהֵן|lechahen
כּוֹבַע|kova
כּוֹחַ|koach
לִכְווֹת|lichvot
לְהִיכָּווֹת|lehikavot
כּוֹכָב|kochav
לְהָכִיל|lehachil
מְכוּלָה|mechula
מֵיכָל|mechal
תְּכוּלָה|tchula
לְהָכִין|lehachin
לְכַווֵּן|lechaven
לְכוֹנֵן|lechonen
לְהִתְכַּווֵּן|lehitkaven
לְהִתְכּוֹנֵן|lehitkonen
לְהִיכּוֹן|lehikon
לְהַכְווִין|lehachvin
כַּווָּנָה|kavana
כִּיוּוּן|kivun
מָכוֹן|machon
תְּכוּנָה|tchuna
מוּכָן|muchan
נָכוֹן|nachon
הֲכָנָה|hachana
מְכוֹנִית|mechonit
כּוֹנְנוּת|konenut
כּוֹנָן|konan
כּוֹנָן|konan
מְכִינָה|mechina
כּוֹס|kos
לְכַווֵּץ|lechavetz
לְהִתְכַּווֵּץ|lehitkavetz
הִתְכַּווְּצוּת|hitkavtzut
כִּיוּוּץ|kivutz
כַּווֶּרֶת|kaveret
כּוּרְסָה|kursa
לְכַזֵּב|lechazev
לְהִיכָּזֵב|lehikazev
לְהַכְזִיב|lehachziv
לְהִיכָּחֵד|lehikached
לְהַכְחִיד|lehachchid
כָּחוֹל|kachol
כְּחַלְחַל|kchalchal
מִכְחוֹל|michchol
לְהַכְחִיל|lehachchil
לְהַכְחִישׁ|lehachchish
לְהִתְכַּחֵשׁ|lehitkachesh
כִּי|ki
כִּיּוֹר|kiyor
כִּיכָּר|kikar
לְכַייֵּל|lechayel
כַּייָּס|kayas
כִּיס|kis
לְכַייֵּס|lechayes
לְכַייֵּף|lechayef
כֵּיף|kef
כֵּיפִי|kefi
כָּךְ|kach
לְכַכֵּב|lechakev
כִּכָּר|kikar
לִכְלוֹא|lichlo
לְהִיכָּלֵא|lehikale
כֶּלֶא|kele
כָּלוּא|kalu
כֶּלֶב|kelev
כְּלַבְלַב|klavlav
מַכְלֵב|machlev
כְּלִיב|kliv
לְהַכְלִיב|lehachliv
כְּלוּם|klum
לְכַלּוֹת|lechalot
